Date,Open,High,Low,Close,Volume,Spread
2024-01-01,1.27184,1.27347,1.27155,1.27274,3288,147
2024-01-02,1.27275,1.27596,1.26105,1.2622,133451,11
2024-01-03,1.26221,1.26761,1.26156,1.26727,149803,12
2024-01-04,1.26727,1.27296,1.26565,1.26807,126681,10
2024-01-05,1.26807,1.27707,1.26106,1.27173,158975,11
2024-01-07,1.27018,1.27192,1.27018,1.27169,2939,248
2024-01-08,1.27169,1.27668,1.26729,1.27411,95912,10
2024-01-09,1.27411,1.27647,1.2689,1.27102,97248,11
2024-01-10,1.27104,1.27448,1.26859,1.27442,92878,10
2024-01-11,1.27441,1.27849,1.26898,1.27782,172927,12
2024-01-12,1.27783,1.27854,1.27192,1.27473,136906,11
2024-01-14,1.27373,1.27508,1.27347,1.2735,4763,133
2024-01-15,1.27352,1.27649,1.27127,1.27151,106633,12
2024-01-16,1.27152,1.27164,1.2619,1.26376,155825,9
2024-01-17,1.26376,1.26958,1.25963,1.2677,152484,10
2024-01-18,1.26769,1.27118,1.26478,1.27109,127303,9
2024-01-19,1.27109,1.27143,1.26608,1.2702,107641,10
2024-01-21,1.26789,1.27083,1.26789,1.26992,6319,187
2024-01-22,1.26991,1.27325,1.26865,1.27057,100607,9
2024-01-23,1.27055,1.27467,1.26488,1.26907,121453,8
2024-01-24,1.26908,1.27745,1.26852,1.27173,120399,8
2024-01-25,1.27175,1.27424,1.26813,1.27057,122811,8
2024-01-26,1.27058,1.27582,1.26751,1.27025,100735,10
2024-01-28,1.26959,1.27037,1.26897,1.26962,6783,46
2024-01-29,1.26962,1.27184,1.26617,1.27118,89948,8
2024-01-30,1.27119,1.27207,1.26399,1.26943,112882,8
2024-01-31,1.26943,1.27505,1.26576,1.26794,170462,9
2024-02-01,1.26792,1.27554,1.26249,1.27457,152445,9
2024-02-02,1.27456,1.27721,1.26136,1.26284,124290,11
2024-02-04,1.26201,1.26366,1.26106,1.26211,7602,283
2024-02-05,1.26208,1.26292,1.25181,1.25333,107014,11
2024-02-06,1.25334,1.26054,1.2533,1.26033,103833,10
2024-02-07,1.26034,1.26416,1.25963,1.26261,103269,10
2024-02-08,1.26258,1.26383,1.25714,1.26201,93560,10
2024-02-09,1.262,1.26429,1.25987,1.26247,79975,9
2024-02-11,1.26206,1.2637,1.26206,1.26365,5373,88
2024-02-12,1.26363,1.26544,1.26058,1.26262,76288,8
2024-02-13,1.26262,1.26875,1.25727,1.25898,105769,9
2024-02-14,1.25897,1.26109,1.25352,1.25671,111852,9
2024-02-15,1.2567,1.26049,1.2541,1.25977,96396,9
2024-02-16,1.25979,1.26241,1.25504,1.25978,98390,8
2024-02-18,1.25987,1.26109,1.25974,1.26104,6842,119
2024-02-19,1.26106,1.26295,1.2583,1.25874,67741,9
2024-02-20,1.25873,1.26682,1.2579,1.26244,95188,10
2024-02-21,1.26244,1.26416,1.26023,1.26377,94694,10
2024-02-22,1.26379,1.27093,1.26112,1.26615,99539,10
2024-02-23,1.26616,1.2701,1.26479,1.26683,70710,7
2024-02-25,1.26727,1.26783,1.26685,1.267,2437,95
2024-02-26,1.26696,1.26993,1.26563,1.26834,56470,7
2024-02-27,1.26838,1.26965,1.26601,1.26796,69011,9
2024-02-28,1.26798,1.26838,1.26211,1.26611,73070,7
2024-02-29,1.26611,1.26813,1.26119,1.26266,83994,6
2024-03-01,1.26266,1.26636,1.25995,1.2653,80468,5
2024-03-03,1.26465,1.26621,1.26465,1.26601,3720,119
2024-03-04,1.26601,1.27062,1.26555,1.2689,58420,7
2024-03-05,1.26894,1.27347,1.26711,1.27039,68326,9
2024-03-06,1.27042,1.27613,1.26899,1.27357,69451,5
2024-03-07,1.27357,1.28132,1.27228,1.2813,75032,7
2024-03-08,1.2813,1.28934,1.28008,1.28548,84732,8
2024-03-10,1.28544,1.28607,1.28476,1.28552,3280,133
2024-03-11,1.28552,1.28618,1.27949,1.28177,67703,8
2024-03-12,1.28177,1.28231,1.27459,1.27947,99243,7
2024-03-13,1.27946,1.28111,1.27741,1.28008,74304,7
2024-03-14,1.28009,1.28227,1.27303,1.27448,88838,9
2024-03-15,1.27447,1.27585,1.27248,1.27313,72934,7
2024-03-17,1.2727,1.27374,1.27264,1.27307,3597,121
2024-03-18,1.27307,1.27465,1.27176,1.2726,61112,7
2024-03-19,1.27261,1.27326,1.26674,1.27174,88969,7
2024-03-20,1.27173,1.27981,1.26841,1.27977,122798,8
2024-03-21,1.27975,1.2803,1.26503,1.26602,133649,6
2024-03-22,1.26601,1.26751,1.25748,1.25984,88576,7
2024-03-24,1.25948,1.26018,1.25901,1.2597,4005,119
2024-03-25,1.25972,1.2652,1.25914,1.26358,60957,8
2024-03-26,1.26359,1.26676,1.26217,1.26274,69950,8
2024-03-27,1.26273,1.26408,1.26052,1.26165,76047,8
2024-03-28,1.26167,1.26544,1.25855,1.26211,90520,8
2024-03-29,1.26211,1.26448,1.26092,1.26158,44552,16
2024-03-31,1.26077,1.26415,1.26077,1.26372,11112,365
2024-04-01,1.26372,1.26416,1.25393,1.25458,67290,8
2024-04-02,1.25457,1.25806,1.25391,1.25757,80899,9
2024-04-03,1.25754,1.26559,1.25621,1.26509,94444,8
2024-04-04,1.26509,1.26833,1.26349,1.26387,82529,8
2024-04-05,1.26387,1.26483,1.25741,1.26361,104275,9
2024-04-07,1.26244,1.26339,1.26206,1.26235,5060,72
2024-04-08,1.26233,1.26636,1.2613,1.26572,90925,8
2024-04-09,1.2657,1.2709,1.26485,1.26767,76684,7
2024-04-10,1.26767,1.27078,1.252,1.25362,123719,9
2024-04-11,1.25363,1.25784,1.25105,1.25544,88024,6
2024-04-12,1.25541,1.25585,1.24263,1.24482,84794,8
2024-04-14,1.2441,1.24629,1.24362,1.24593,5886,123
2024-04-15,1.24594,1.24983,1.24355,1.24458,101004,8
2024-04-16,1.24459,1.24718,1.24055,1.24302,113705,8
2024-04-17,1.24301,1.24815,1.24168,1.24525,98663,7
2024-04-18,1.24529,1.24843,1.24318,1.24345,79093,7
2024-04-19,1.24344,1.24682,1.23666,1.23695,123885,7
2024-04-21,1.23694,1.23783,1.23655,1.2375,3357,127
2024-04-22,1.23756,1.23919,1.22991,1.23494,66195,9
2024-04-23,1.23494,1.24582,1.23315,1.24541,86058,8
2024-04-24,1.24541,1.24697,1.24223,1.24589,67273,8
2024-04-25,1.24588,1.2527,1.2454,1.2507,106148,7
2024-04-26,1.25068,1.25409,1.24489,1.24908,86052,8
2024-04-28,1.24632,1.25096,1.24623,1.25093,1827,254
2024-04-29,1.25093,1.25693,1.25072,1.25593,93394,6
2024-04-30,1.25592,1.25609,1.24876,1.24884,99721,7
2024-05-01,1.24888,1.25499,1.24659,1.25359,111461,8
2024-05-02,1.25359,1.25444,1.24717,1.25392,115328,7
2024-05-03,1.25395,1.2634,1.25292,1.25446,120845,7
2024-05-05,1.25324,1.25528,1.25324,1.25404,4314,266
2024-05-06,1.25404,1.25941,1.25381,1.2559,86627,6
2024-05-07,1.2559,1.25704,1.24983,1.25015,82322,7
2024-05-08,1.25011,1.25045,1.24675,1.24928,74556,8
2024-05-09,1.24929,1.25296,1.24457,1.25246,89919,8
2024-05-10,1.25245,1.2541,1.25023,1.25239,67628,5
2024-05-12,1.25155,1.25273,1.25124,1.25216,2321,103
2024-05-13,1.25218,1.25683,1.25172,1.25598,65235,6
2024-05-14,1.25597,1.25927,1.25092,1.25836,86064,7
2024-05-15,1.25835,1.2694,1.25831,1.26884,92563,11
2024-05-16,1.26883,1.27005,1.26432,1.26711,71241,8
2024-05-17,1.26711,1.27114,1.26447,1.26999,53820,5
2024-05-19,1.26953,1.27077,1.26878,1.27055,2015,98
2024-05-20,1.27055,1.27252,1.26889,1.27095,57860,8
2024-05-21,1.27096,1.27266,1.26863,1.27097,45809,8
2024-05-22,1.27098,1.2761,1.26998,1.27202,79110,6
2024-05-23,1.27201,1.27463,1.26852,1.26929,87177,6
2024-05-24,1.26927,1.27507,1.26753,1.27358,62611,7
2024-05-26,1.27299,1.27429,1.27299,1.27338,2887,132
2024-05-27,1.27336,1.27774,1.27336,1.27718,49164,6
2024-05-28,1.27718,1.28005,1.27537,1.27576,69812,6
2024-05-29,1.27575,1.27715,1.26957,1.26972,74689,8
2024-05-30,1.26973,1.27469,1.26806,1.27285,70374,8
2024-05-31,1.27286,1.2766,1.26999,1.27404,79299,7
2024-06-02,1.27336,1.27453,1.27336,1.27439,2504,134
2024-06-03,1.27439,1.28119,1.26941,1.28095,80594,8
2024-06-04,1.28096,1.28171,1.27425,1.27719,82738,5
2024-06-05,1.27722,1.27951,1.2755,1.27932,73465,6
2024-06-06,1.27932,1.28088,1.27622,1.27923,74448,6
2024-06-07,1.27922,1.28159,1.27142,1.27198,85989,7
2024-06-09,1.27288,1.2731,1.27128,1.27279,5515,53
2024-06-10,1.27278,1.2737,1.26876,1.27256,60767,7
2024-06-11,1.27256,1.27513,1.27057,1.27393,68524,6
2024-06-12,1.27391,1.28604,1.27325,1.27958,119962,9
2024-06-13,1.27959,1.28073,1.2738,1.27534,79807,8
2024-06-14,1.27533,1.27636,1.26568,1.26828,88531,7
2024-06-16,1.26835,1.26871,1.2678,1.26832,4807,88
2024-06-17,1.26831,1.27139,1.26588,1.27134,66646,7
2024-06-18,1.27133,1.27207,1.26687,1.27066,84277,8
2024-06-19,1.27065,1.27397,1.26998,1.27198,52598,7
2024-06-20,1.27198,1.27202,1.26531,1.26596,79232,7
2024-06-21,1.26594,1.26742,1.26218,1.26424,80131,7
2024-06-23,1.26343,1.26448,1.26343,1.26375,5618,112
2024-06-24,1.26377,1.26977,1.26323,1.26817,61177,8
2024-06-25,1.26817,1.27022,1.267,1.26835,59031,8
2024-06-26,1.26837,1.26932,1.26153,1.26206,70609,8
2024-06-27,1.26207,1.26705,1.26125,1.26437,71506,7
2024-06-28,1.2644,1.26632,1.26194,1.26427,83941,8
2024-06-30,1.26492,1.26571,1.26386,1.26482,3782,61
2024-07-01,1.26482,1.27101,1.26328,1.26449,91455,8
2024-07-02,1.2645,1.26913,1.26152,1.26873,74659,5
2024-07-03,1.26877,1.27769,1.26781,1.27471,83093,6
2024-07-04,1.27471,1.27673,1.27408,1.2755,41460,6
2024-07-05,1.2755,1.28169,1.27549,1.28114,97286,4
2024-07-07,1.27961,1.28154,1.27855,1.28057,5454,51
2024-07-08,1.28057,1.28454,1.27996,1.2815,78304,6
2024-07-09,1.2815,1.28248,1.27773,1.27879,81039,8
2024-07-10,1.2788,1.28542,1.27839,1.28537,73060,6
2024-07-11,1.28537,1.29491,1.2849,1.29234,111526,5
2024-07-12,1.29231,1.29905,1.29019,1.29845,110846,8
2024-07-14,1.29629,1.29831,1.29625,1.2967,5214,115
2024-07-15,1.2967,1.29947,1.29616,1.29692,97614,6
2024-07-16,1.29688,1.29795,1.2938,1.29773,97197,7
2024-07-17,1.29774,1.30443,1.29658,1.30082,105806,7
2024-07-18,1.30083,1.30127,1.29401,1.29488,94411,4
2024-07-19,1.29488,1.29488,1.29006,1.291,81658,6
2024-07-21,1.29073,1.29393,1.29073,1.29324,6483,246
2024-07-22,1.29323,1.29419,1.29052,1.29306,84153,6
2024-07-23,1.29307,1.29345,1.28875,1.29008,82414,7
2024-07-24,1.29007,1.29372,1.28771,1.28975,99776,7
2024-07-25,1.28976,1.29132,1.28478,1.28548,119647,8
2024-07-26,1.28551,1.28777,1.28495,1.28642,83232,7
2024-07-28,1.28558,1.28717,1.28558,1.28664,4793,87
2024-07-29,1.28663,1.28878,1.28064,1.28594,94547,6
2024-07-30,1.28593,1.28642,1.28196,1.28375,88033,7
2024-07-31,1.28375,1.28641,1.28207,1.28524,140341,7
2024-08-01,1.28525,1.28604,1.27266,1.27276,132237,7
2024-08-02,1.27273,1.284,1.27071,1.28033,138070,7
2024-08-04,1.28031,1.28118,1.27812,1.27873,9284,129
